id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
26957900,死侍与金刚狼,,https://dou.img.lithub.cc/movie/26957900.jpg,2024-07-26(中国大陆),https://movie.douban.com/subject/26957900/,7.1,"喜剧,动作,科幻",,,,2024-07-28 13:53:56,2024 / 美国 / 喜剧 动作 科幻 / 肖恩·利维 / 瑞安·雷诺兹 休·杰克曼
1296102,绝地战警,,https://dou.img.lithub.cc/movie/1296102.jpg,1995-12(中国大陆),https://movie.douban.com/subject/1296102/,7.5,"喜剧,动作,犯罪",,,,2024-07-26 14:15:04,1995 / 美国 / 喜剧 动作 犯罪 / 迈克尔·贝 / 马丁·劳伦斯 威尔·史密斯
1297260,笨贼妙探,,https://dou.img.lithub.cc/movie/1297260.jpg,1999-11-18,https://movie.douban.com/subject/1297260/,7.7,"喜剧,动作,犯罪",,,,2024-07-24 14:12:36,1999 / 德国 美国 / 喜剧 动作 犯罪 / 莱斯·梅菲尔德 / 马丁·劳伦斯 卢克·威尔逊
35926862,黑袍纠察队 第四季,,https://dou.img.lithub.cc/movie/35926862.jpg,2024-06-13(美国),https://movie.douban.com/subject/35926862/,7.1,"剧情,动作,科幻",,,,2024-07-20 19:52:17,2024 / 美国 / 剧情 动作 科幻 犯罪 / 菲利浦·斯格里西亚 卡伦·卡薇欧拉 / 卡尔·厄本 杰克·奎德
20453087,IT狂人特别篇,,https://dou.img.lithub.cc/movie/20453087.jpg,2013-09-27(英国),https://movie.douban.com/subject/20453087/,9.2,喜剧,,,,2024-07-11 23:36:42,2013 / 英国 / 喜剧 / 格雷厄姆·莱恩汉 / 克里斯·奥多德 理查德·艾欧阿德
4850563,IT狂人 第四季,,https://dou.img.lithub.cc/movie/4850563.jpg,2010-06-25(英国),https://movie.douban.com/subject/4850563/,9.4,喜剧,,,,2024-07-11 20:21:33,2010 / 英国 / 喜剧 / Ben Fuller 格雷厄姆·莱恩汉 / 克里斯·奥多德 理查德·艾欧阿德
3345619,IT狂人  第三季,,https://dou.img.lithub.cc/movie/3345619.jpg,2008-11-21(英国),https://movie.douban.com/subject/3345619/,9.4,喜剧,,,,2024-07-08 13:46:18,2008 / 英国 / 喜剧 / Ben Fuller / 克里斯·奥多德 理查德·艾欧阿德
30267287,犯罪都市2,,https://dou.img.lithub.cc/movie/30267287.jpg,2022-05-18(韩国),https://movie.douban.com/subject/30267287/,7.5,"动作,犯罪",,,,2024-07-07 13:47:36,2022 / 韩国 / 动作 犯罪 / 李相龙 / 马东锡 孙锡久
26946510,犯罪都市,,https://dou.img.lithub.cc/movie/26946510.jpg,2017-10-03(韩国),https://movie.douban.com/subject/26946510/,7.7,"动作,犯罪",,,,2024-07-07 00:26:32,2017 / 韩国 / 动作 犯罪 / 姜允成 / 马东锡 尹启相
3570688,IT狂人 第二季,,https://dou.img.lithub.cc/movie/3570688.jpg,2007-08-24(英国),https://movie.douban.com/subject/3570688/,9.4,喜剧,,,,2024-07-05 18:31:41,2007 / 英国 / 喜剧 / 格雷厄姆·莱恩汉 Barbara Wiltshire Ben Fuller Richard Boden / 克里斯·奥多德 理查德·艾欧阿德
36085987,犯罪都市4,,https://dou.img.lithub.cc/movie/36085987.jpg,2024-02-23(柏林电影节),https://movie.douban.com/subject/36085987/,6.6,"动作,惊悚,犯罪",,,,2024-07-03 21:28:43,2024 / 韩国 / 动作 惊悚 犯罪 / 许明行 / 马东锡 金武烈
1758810,IT狂人 第一季,,https://dou.img.lithub.cc/movie/1758810.jpg,2006-02-03(英国),https://movie.douban.com/subject/1758810/,9.1,喜剧,,,,2024-07-01 13:25:15,2006 / 英国 / 喜剧 / 格雷厄姆·莱恩汉 Richard Boden Ben Fuller Barbara Wiltshire / Chris O'Dowd 理查德·艾欧阿德 Richard Ayoade
35898983,职业杀手,,https://dou.img.lithub.cc/movie/35898983.jpg,2023-09-05(威尼斯电影节),https://movie.douban.com/subject/35898983/,7,"喜剧,动作,爱情",,,,2024-06-23 15:06:54,2023 / 美国 / 喜剧 动作 爱情 犯罪 / 理查德·林克莱特 / 格伦·鲍威尔 阿德里娅·阿霍纳
35919997,9号秘事 第九季,,https://dou.img.lithub.cc/movie/35919997.jpg,2024-05-08(英国),https://movie.douban.com/subject/35919997/,9.2,"剧情,喜剧,悬疑",,,,2024-06-22 23:34:58,2024 / 英国 / 剧情 喜剧 悬疑 惊悚 恐怖 犯罪 / 乔治·凯恩 阿尔·坎贝尔 吉列尔莫·莫拉莱斯 / 史蒂夫·佩姆伯顿 里斯·谢尔史密斯
35420025,小谢尔顿 第七季,,https://dou.img.lithub.cc/movie/35420025.jpg,2024-02-15(美国),https://movie.douban.com/subject/35420025/,9.6,喜剧,,,,2024-06-22 14:03:53,2024 / 美国 / 喜剧 / 伊恩·阿米蒂奇 佐伊·派瑞
35420024,小谢尔顿 第六季,,https://dou.img.lithub.cc/movie/35420024.jpg,2022-09-29(美国),https://movie.douban.com/subject/35420024/,9.1,喜剧,,,,2024-06-19 18:02:41,2022 / 美国 / 喜剧 / 艾力克斯·里德 / 伊恩·阿米蒂奇 佐伊·派瑞
35420023,小谢尔顿 第五季,,https://dou.img.lithub.cc/movie/35420023.jpg,2021-10-07(美国),https://movie.douban.com/subject/35420023/,9.1,喜剧,,,,2024-06-15 12:07:10,2021 / 美国 / 喜剧 / 艾力克斯·里德 / 伊恩·阿米蒂奇 佐伊·派瑞
30433323,德鲁纳酒店,,https://dou.img.lithub.cc/movie/30433323.jpg,2019-07-13(韩国),https://movie.douban.com/subject/30433323/,7.9,"剧情,奇幻",,,,2024-06-01 23:46:53,2019 / 韩国 / 剧情 奇幻 / 吴庆焕 / 李知恩 吕珍九
30467486,小谢尔顿 第四季,,https://dou.img.lithub.cc/movie/30467486.jpg,2020-11-05(美国),https://movie.douban.com/subject/30467486/,9.4,喜剧,,,,2024-05-24 16:06:43,2020 / 美国 / 喜剧 / 贾弗尔·马哈穆德 / 伊恩·阿米蒂奇 佐伊·派瑞
36324447,好久没做,,https://dou.img.lithub.cc/movie/36324447.jpg,2024-01-19(韩国),https://movie.douban.com/subject/36324447/,8.4,"剧情,喜剧,爱情",,,,2024-05-23 19:02:06,2024 / 韩国 / 剧情 喜剧 爱情 / 全高云 任大炯 / 李絮 安宰弘
26602900,魔女,,https://dou.img.lithub.cc/movie/26602900.jpg,2018-06-27(韩国),https://movie.douban.com/subject/26602900/,7.7,"动作,悬疑",,,,2024-05-21 20:14:55,2018 / 韩国 / 动作 悬疑 / 朴勋政 / 金多美 赵敏修
36219186,与恶魔有约,,https://dou.img.lithub.cc/movie/36219186.jpg,2023-11-24(韩国),https://movie.douban.com/subject/36219186/,7.6,"剧情,爱情,奇幻",,,,2024-05-16 11:23:43,2023 / 韩国 / 剧情 爱情 奇幻 / 金章汉 权多顺 / 金裕贞 宋江
30467485,小谢尔顿 第三季,,https://dou.img.lithub.cc/movie/30467485.jpg,2019-09-26(美国),https://movie.douban.com/subject/30467485/,9.4,喜剧,,,,2024-05-15 20:37:19,2019 / 美国 / 喜剧 / 贾弗尔·马哈穆德 / 伊恩·阿米蒂奇 佐伊·派瑞
26761935,孤单又灿烂的神：鬼怪,,https://dou.img.lithub.cc/movie/26761935.jpg,2016-12-02(韩国),https://movie.douban.com/subject/26761935/,8.9,剧情,,,,2024-05-12 21:28:50,2016 / 韩国 / 剧情 / 李应福 / 孔刘 金高银
35524446,非常律师禹英禑,,https://dou.img.lithub.cc/movie/35524446.jpg,2022-06-29(韩国),https://movie.douban.com/subject/35524446/,8.8,"剧情,喜剧",,,,2024-05-10 20:31:17,2022 / 韩国 / 剧情 喜剧 / 刘仁值 / 朴恩斌 姜泰伍
35296153,海岸村恰恰恰,,https://dou.img.lithub.cc/movie/35296153.jpg,2021-08-28(韩国),https://movie.douban.com/subject/35296153/,8.6,"剧情,爱情",,,,2024-05-07 23:09:44,2021 / 韩国 / 剧情 爱情 / 柳济元 / 申敏儿 金宣虎
35400242,社内相亲,,https://dou.img.lithub.cc/movie/35400242.jpg,2022-02-28(韩国),https://movie.douban.com/subject/35400242/,7.9,"喜剧,爱情",,,,2024-05-02 01:33:30,2022 / 韩国 / 喜剧 爱情 / 朴善浩 / 安孝燮 金世正
30181455,金秘书为何那样,,https://dou.img.lithub.cc/movie/30181455.jpg,2018-06-06(韩国),https://movie.douban.com/subject/30181455/,8,"喜剧,爱情",,,,2024-04-30 08:58:09,2018 / 韩国 / 喜剧 爱情 / 朴俊和 / 朴叙俊 朴敏英
35861696,眼泪女王,,https://dou.img.lithub.cc/movie/35861696.jpg,2024-03-09(韩国),https://movie.douban.com/subject/35861696/,6.9,"剧情,爱情",,,,2024-04-29 01:07:48,2024 / 韩国 / 剧情 爱情 / 金希元 张荣佑 / 金秀贤 金智媛
34861170,虽然是精神病但没关系,,https://dou.img.lithub.cc/movie/34861170.jpg,2020-06-20(韩国),https://movie.douban.com/subject/34861170/,8.4,"剧情,爱情",,,,2024-04-26 01:24:30,2020 / 韩国 / 剧情 爱情 / 朴信宇 / 金秀贤 徐睿知
27623506,小谢尔顿 第二季,,https://dou.img.lithub.cc/movie/27623506.jpg,2018-09-24(美国),https://movie.douban.com/subject/27623506/,9.5,喜剧,,,,2024-04-23 13:07:06,2018 / 美国 / 喜剧 / 贾弗尔·马哈穆德 霍华德·达奇 / 伊恩·阿米蒂奇 佐伊·派瑞
